iata,name,city,state,country,latitude,longitude
Horseheads,Horseheads,Horseheads,Horseheads,Horseheads,42.2125,-76.7868
Akron,Akron,Akron,Akron,Akron,41.1466,-81.5645
Redlands,Redlands,Redlands,Redlands,Redlands,34.0614,-117.1734
San Jose,San Jose,San Jose,San Jose,San Jose,37.3239,-121.9144
Manhattan Beach,Manhattan Beach,Manhattan Beach,Manhattan Beach,Manhattan Beach,33.8893,-118.401
Chino,Chino,Chino,Chino,Chino,33.9869,-117.6555
Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,40.0491,-75.2281
Stanford,Stanford,Stanford,Stanford,Stanford,37.4178,-122.172
Nampa,Nampa,Nampa,Nampa,Nampa,43.6008,-116.6103
Yelm,Yelm,Yelm,Yelm,Yelm,46.8719,-122.5737
Madison,Madison,Madison,Madison,Madison,43.0639,-89.3145
Atlanta,Atlanta,Atlanta,Atlanta,Atlanta,33.749,-84.388
Vancouver,Vancouver,Vancouver,Vancouver,Vancouver,45.6387,-122.6615
New Berlin,New Berlin,New Berlin,New Berlin,New Berlin,42.9734,-88.1031
"Midland, ON","Midland, ON","Midland, ON","Midland, ON","Midland, ON",44.7542,-79.9005
Salem,Salem,Salem,Salem,Salem,44.9023,-123.0662
Corvallis,Corvallis,Corvallis,Corvallis,Corvallis,44.5646,-123.262
OR,OR,OR,OR,OR,45.5234,-122.6762
"White Rock, BC","White Rock, BC","White Rock, BC","White Rock, BC","White Rock, BC",49.0268,-122.8369
Hawthorne,Hawthorne,Hawthorne,Hawthorne,Hawthorne,33.9129,-118.3439
"Castlegar, BC","Castlegar, BC","Castlegar, BC","Castlegar, BC","Castlegar, BC",49.3167,-117.6667
Redmond,Redmond,Redmond,Redmond,Redmond,47.6801,-122.1206
"Chilliwack, BC","Chilliwack, BC","Chilliwack, BC","Chilliwack, BC","Chilliwack, BC",49.1409,-121.962
San Gabriel,San Gabriel,San Gabriel,San Gabriel,San Gabriel,34.0891,-118.0924
Palmdale,Palmdale,Palmdale,Palmdale,Palmdale,34.52,-118.0835
